rank,lemma,zipf_freq,evidence,in_workbook
245,model,5.130,verbnet+brown+wn-primary,yes
246,picture,5.130,verbnet+brown,yes
247,size,5.130,brown+wn-primary,no
248,step,5.130,verbnet+brown+wn-primary,yes
249,trust,5.130,verbnet+brown+wn-primary,yes
250,forward,5.120,verbnet+brown,yes
251,key,5.120,brown,no
252,page,5.120,verbnet+wn-primary,yes
253,range,5.120,verbnet+brown+wn-primary,yes
254,review,5.120,verbnet+brown+wn-primary,yes
255,trade,5.120,verbnet+brown+wn-primary,no
256,cup,5.110,verbnet+brown,yes
257,hate,5.110,verbnet+brown+wn-primary,yes
258,jam,4.170,verbnet+brown+wn-primary,yes
259,lower,5.110,verbnet+brown+wn-primary,yes
260,style,5.110,verbnet+brown,yes
261,vote,5.110,verbnet+brown+wn-primary,yes
262,amaze,3.190,verbnet+brown+wn-primary,yes
263,complete,5.100,verbnet+brown+wn-primary,no
264,involve,4.280,verbnet+brown+wn-primary,yes
265,oil,5.100,verbnet+brown+wn-primary,yes
266,relate,4.240,verbnet+brown+wn-primary,yes
267,stage,5.100,verbnet,yes
268,title,5.100,brown,no
269,attack,5.090,verbnet+brown+wn-primary,yes
270,bear,4.710,verbnet+brown+wn-primary,yes
271,damn,5.090,verbnet+brown,yes
272,decide,4.780,verbnet+brown+wn-primary,yes
273,enjoy,5.090,verbnet+brown+wn-primary,yes
274,release,5.090,verbnet+brown+wn-primary,no
275,write,5.030,verbnet+brown+wn-primary,yes
276,code,5.080,verbnet+wn-primary,yes
277,consider,4.990,verbnet+brown+wn-primary,yes
278,continue,5.080,verbnet+brown+wn-primary,yes
279,cover,5.080,verbnet+brown+wn-primary,yes
280,increase,5.080,verbnet+brown,no
281,pick,5.080,verbnet+brown+wn-primary,yes
282,race,5.080,verbnet+brown+wn-primary,yes
283,sign,5.080,verbnet+brown+wn-primary,yes
284,staff,5.080,verbnet+brown,yes
285,walk,5.080,verbnet+brown+wn-primary,yes
286,bed,5.070,verbnet+wn-primary,yes
287,begin,4.840,verbnet+brown+wn-primary,no
288,career,5.070,wn-primary,no
289,december,5.070,verbnet,no
290,figure,5.070,verbnet+brown,no
291,paper,5.070,verbnet,yes
292,publish,4.100,verbnet+brown+wn-primary,yes
293,voice,5.070,verbnet+brown,yes
294,forget,5.060,brown+wn-primary,no
295,listen,5.060,verbnet+brown+wn-primary,yes
296,okay,5.060,verbnet,no
297,practice,5.060,verbnet+brown+wn-primary,yes
