Verb,VerbNet Class,Semantic Domain,Situation,WN_Count,WN_Status,WN_Synset_01,WN_Gloss_01,WN_Synset_02,WN_Gloss_02,WN_Synset_03,WN_Gloss_03,WN_Synset_04,WN_Gloss_04,WN_Synset_05,WN_Gloss_05,WN_Synset_06,WN_Gloss_06,WN_Synset_07,WN_Gloss_07,WN_Synset_08,WN_Gloss_08,WN_Synset_09,WN_Gloss_09,WN_Synset_10,WN_Gloss_10
glimmer,light_emission-43.1,Creation,Emission,1,Match,gleam.v.02,"shine brightly, like a star or a light",,,,,,,,,,,,,,,,,,
glimpse,sight-30.2,Perception,Sense,1,Match,glimpse.v.01,catch a glimpse of or see briefly,,,,,,,,,,,,,,,,,,
glint,light_emission-43.1,Creation,Emission,1,Match,glitter.v.01,"be shiny, as if wet",,,,,,,,,,,,,,,,,,
glisten,light_emission-43.1,Creation,Emission,1,Match,glitter.v.01,"be shiny, as if wet",,,,,,,,,,,,,,,,,,
glitter,light_emission-43.1,Creation,Emission,1,Match,glitter.v.01,"be shiny, as if wet",,,,,,,,,,,,,,,,,,
gloat,marvel-31.3,Affect,Affect,2,Match,gloat.v.02,"gaze at or think about something with great self-satisfaction, gratification, or joy",gloat.v.01,dwell on with satisfaction,,,,,,,,,,,,,,,,
glorify,overstate-37.12,Communication,Statement,1,Match,laud.v.01,"praise, glorify, or honor",,,,,,,,,,,,,,,,,,
glory,marvel-31.3,Affect,Affect,1,Match,glory.v.01,rejoice proudly,,,,,,,,,,,,,,,,,,
glow,light_emission-43.1,Creation,Emission,2,Match,glow.v.01,emit a steady even light without flames,burn.v.02,"shine intensely, as if with heat",,,,,,,,,,,,,,,,
glower,nonverbal_expression-40.2,Existence,Existence,2,Match,frown.v.01,"look angry or sullen, wrinkle one's forehead, as if to signal disapproval",glower.v.01,look at with a fixed gaze,,,,,,,,,,,,,,,,
glue,tape-22.4,Incremental,Basic Incremental,1,Match,glue.v.01,join or attach with or as if with glue,,,,,,,,,,,,,,,,,,
gnash,crane-40.3.2,Existence,Existence,1,Match,gnash.v.01,"grind together, of teeth",,,,,,,,,,,,,,,,,,
gnaw,chew-39.2,Transformation,Ingestion,1,Match,gnaw.v.01,bite or chew on with the teeth,,,,,,,,,,,,,,,,,,
go,attend-107.4,Affiliation,Membership,1,Match,belong.v.03,be in the right place or situation,,,,,,,,,,,,,,,,,,
go,disappearance-48.2,Motion,Basic Motion,1,Match,fail.v.04,stop operating or functioning,,,,,,,,,,,,,,,,,,
go,escape-51.1,Motion,Basic Motion,2,Match,go.v.03,move away from a place into another direction,travel.v.01,"change location; move, travel, or proceed, also metaphorically",,,,,,,,,,,,,,,,
go,meander-47.7,Existence,Existence,1,Match,run.v.03,"stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point",,,,,,,,,,,,,,,,,,
go-out,interact-36.6,Affiliation,Reciprocal,1,Match,go_steady.v.01,date regularly; have a steady relationship with,,,,,,,,,,,,,,,,,,
go-steady,interact-36.6,Affiliation,Reciprocal,1,Match,go_steady.v.01,date regularly; have a steady relationship with,,,,,,,,,,,,,,,,,,
go_about,confront-98,Communication,Response,1,Match,set_about.v.01,begin to deal with,,,,,,,,,,,,,,,,,,
go_ballistic,marvel-31.3,Affect,Affect,1,Match,flip_one's_lid.v.01,get very angry and fly into a rage,,,,,,,,,,,,,,,,,,
go_down,disappearance-48.2,Motion,Basic Motion,1,Match,crash.v.12,stop operating,,,,,,,,,,,,,,,,,,
go_off,disappearance-48.2,Motion,Basic Motion,1,Match,go_off.v.04,"stop running, functioning, or operating",,,,,,,,,,,,,,,,,,
go_out,disappearance-48.2,Motion,Basic Motion,1,Match,go_out.v.04,become extinguished,,,,,,,,,,,,,,,,,,
go_over,assessment-34.1,Cognition,Judge,1,Match,check.v.01,"examine so as to determine accuracy, quality, or condition",,,,,,,,,,,,,,,,,,
goad,bully-59.5,Affiliation,Attack,4,Match,goad.v.02,urge with or as if with a goad,spur.v.02,give heart or courage to,needle.v.01,"goad or provoke,as by constant criticism",goad.v.03,stab or urge on as if with a pointed stick,,,,,,,,,,,,
gobble,animal_sounds-38,Creation,Emission,1,Match,gobble.v.02,"make a gurgling sound, characteristic of turkeys",,,,,,,,,,,,,,,,,,
gobble,gobble-39.3,Transformation,Ingestion,1,Match,gobble.v.01,eat hastily without proper chewing,,,,,,,,,,,,,,,,,,
goggle,nonverbal_expression-40.2,Existence,Existence,1,Match,goggle.v.01,look with amazement; look stupidly,,,,,,,,,,,,,,,,,,
goggle,peer-30.3,Perception,Look,1,Match,goggle.v.01,look with amazement; look stupidly,,,,,,,,,,,,,,,,,,
goose_step,run-51.3.2,Motion,Basic Motion,1,Match,goose_step.v.01,march in a military fashion,,,,,,,,,,,,,,,,,,
gorge,gorge-39.6,Transformation,Ingestion,1,Match,gorge.v.01,overeat or eat immodestly; make a pig of oneself,,,,,,,,,,,,,,,,,,
gossip,chit_chat-37.6,Communication,Joint Statement,2,Match,chew_the_fat.v.01,talk socially without exchanging too much information,dish_the_dirt.v.01,wag one's tongue; speak about others and reveal secrets or intimacies,,,,,,,,,,,,,,,,
gouge,carve-21.2,Force,Basic Force,2,Match,gouge.v.01,force with the thumb,rout.v.03,make a groove in,,,,,,,,,,,,,,,,
govern,supervision-95.2.2,Affiliation,Membership,1,Match,govern.v.03,exercise authority over; as of nations,,,,,,,,,,,,,,,,,,
grab,obtain-13.5.2,Possession,Dynamic Possession,2,Match,snap_up.v.01,get hold of or seize quickly and easily,catch.v.04,take hold of so as to seize or restrain or stop the motion of,,,,,,,,,,,,,,,,
grab,steal-10.5,Possession,Transfer of Possession,1,Match,grab.v.04,obtain illegally or unscrupulously,,,,,,,,,,,,,,,,,,
grade,classify-29.10,Cognition,Judge,1,Match,rate.v.01,assign a rank or rating to,,,,,,,,,,,,,,,,,,
grade,remedy-45.7,Transformation,Causative Change of State,1,Match,grade.v.02,level to the right gradient,,,,,,,,,,,,,,,,,,
grant,future_having-13.3,Possession,Future Having,6,Match,accord.v.02,allow to have,award.v.02,give as judged due or on the basis of merit,allow.v.03,let have,grant.v.07,transfer by deed,grant.v.05,"bestow, especially officially",concede.v.03,give over; surrender or relinquish to the physical control of another,,,,,,,,
granulate,break-45.1,Transformation,Basic Change of State,2,Match,granulate.v.02,become granular,granulate.v.01,form into grains,,,,,,,,,,,,,,,,
grasp,comprehend-87.2,Cognition,Judge,1,Match,grok.v.01,get the meaning of something,,,,,,,,,,,,,,,,,,
grasp,touch-20,Force,Basic Force,1,Match,grasp.v.01,hold firmly,,,,,,,,,,,,,,,,,,
grass,butter-9.9,Incremental,Causative Incremental,2,Match,grass.v.02,cover with grass,grass.v.04,cover with grass,,,,,,,,,,,,,,,,
grate,appeal-31.4,Desire,Desire,1,Match,eat_into.v.01,gnaw into; make resentful or angry,,,,,,,,,,,,,,,,,,
grate,carve-21.2,Force,Basic Force,1,Match,grate.v.03,reduce to small shreds or pulverize by rubbing against a rough or sharp perforated surface,,,,,,,,,,,,,,,,,,
gratify,amuse-31.1,Affect,Affect,2,Match,satisfy.v.02,make happy or satisfied,gratify.v.02,yield (to); give satisfaction to,,,,,,,,,,,,,,,,
gravel,butter-9.9,Incremental,Causative Incremental,1,Match,gravel.v.02,cover with gravel,,,,,,,,,,,,,,,,,,
gray,other_cos-45.4,Transformation,Basic Change of State,2,Match,grey.v.01,make grey,grey.v.02,turn grey,,,,,,,,,,,,,,,,
graze,dine-39.5,Transformation,Ingestion,2,Match,crop.v.05,feed as in a meadow or pasture,browse.v.04,"eat lightly, try different dishes",,,,,,,,,,,,,,,,
graze,touch-20,Force,Basic Force,2,Match,graze.v.04,scrape gently,,,,,,,,,,,,,,,,,,
grease,butter-9.9,Incremental,Causative Incremental,1,Match,grease.v.01,lubricate with grease,,,,,,,,,,,,,,,,,,
greet,judgment-33.1,Affiliation,Attack,2,Match,greet.v.01,express greetings upon meeting someone,,,,,,,,,,,,,,,,,,
greet,judgment-33.1,Cognition,Judge,2,Match,greet.v.01,express greetings upon meeting someone,,,,,,,,,,,,,,,,,,
grieve,amuse-31.1,Affect,Affect,1,Match,grieve.v.02,cause to feel sorrow,,,,,,,,,,,,,,,,,,
grieve,marvel-31.3,Affect,Affect,1,Match,grieve.v.01,feel grief,,,,,,,,,,,,,,,,,,
grill,cooking-45.3,Transformation,Causative Change of State,1,Match,grill.v.01,cook over a grill,,,,,,,,,,,,,,,,,,
grill,preparing-26.3,Creation,Causative Creation,1,Match,grill.v.01,cook over a grill,,,,,,,,,,,,,,,,,,
grimace,nonverbal_expression-40.2,Existence,Existence,1,Match,grimace.v.01,contort the face to indicate a certain mental or emotional state,,,,,,,,,,,,,,,,,,
grin,nonverbal_expression-40.2,Existence,Existence,1,Match,grin.v.01,"to draw back the lips and reveal the teeth, in a smile, grimace, or snarl",,,,,,,,,,,,,,,,,,
grind,carve-21.2,Force,Basic Force,2,Match,crunch.v.02,press or grind with a crushing noise,grind.v.05,reduce to small pieces or particles by pounding or abrading,,,,,,,,,,,,,,,,
grind,crane-40.3.2,Existence,Existence,1,Match,grate.v.04,make a grating or grinding sound by rubbing together,,,,,,,,,,,,,,,,,,
grip,touch-20,Force,Basic Force,3,Match,grapple.v.02,"to grip or seize, as in a wrestling match",fascinate.v.02,"to render motionless, as with a fixed stare or by arousing terror or awe",grip.v.01,hold fast or firmly,,,,,,,,,,,,,,
gripe,complain-37.8,Communication,Statement,1,Match,gripe.v.01,complain,,,,,,,,,,,,,,,,,,
groan,animal_sounds-38,Creation,Emission,1,Match,groan.v.01,"indicate pain, discomfort, or displeasure",,,,,,,,,,,,,,,,,,
groan,nonverbal_expression-40.2,Existence,Existence,1,Match,groan.v.01,"indicate pain, discomfort, or displeasure",,,,,,,,,,,,,,,,,,
groan,sound_emission-43.2,Creation,Emission,1,Match,groan.v.01,"indicate pain, discomfort, or displeasure",,,,,,,,,,,,,,,,,,
groom,groom-41.1.2,Transformation,Causative Change of State,2,Match,dress.v.15,give a neat appearance to,groom.v.03,care for one's external appearance,,,,,,,,,,,,,,,,
groom,hire-13.5.3,Affiliation,Cause Membership,1,Match,prepare.v.05,educate for a future role or function,,,,,,,,,,,,,,,,,,
groove,butter-9.9,Incremental,Causative Incremental,1,Match,groove.v.01,"make a groove in, or provide with a groove",,,,,,,,,,,,,,,,,,
grope,rummage-35.5,Volition,Search,1,Match,grope.v.01,feel about uncertainly or blindly,,,,,,,,,,,,,,,,,,
grope,touch-20,Force,Basic Force,2,Match,grope.v.03,fondle for sexual pleasure,grope.v.01,feel about uncertainly or blindly,,,,,,,,,,,,,,,,
grouch,complain-37.8,Communication,Statement,1,Match,grouch.v.01,show one's unhappiness or critical attitude,,,,,,,,,,,,,,,,,,
ground,base-97.1,Association,Base and Deduce,1,Match,establish.v.08,use as a basis for; found on,,,,,,,,,,,,,,,,,,
ground,pocket-9.10,Incremental,Basic Incremental,2,Match,anchor.v.01,fix firmly and stably,ground.v.03,place or put on the ground,,,,,,,,,,,,,,,,
group,classify-29.10,Cognition,Judge,1,Match,group.v.01,arrange into a group or groups,,,,,,,,,,,,,,,,,,
group,herd-47.5.2,Incremental,Basic Incremental,2,Match,group.v.01,arrange into a group or groups,group.v.02,form a group or group together,,,,,,,,,,,,,,,,
grouse,complain-37.8,Communication,Statement,1,Match,grouse.v.01,hunt grouse,,,,,,,,,,,,,,,,,,
grow,appear-48.1.1,Location,Location,1,Match,originate.v.01,come into existence; take on form or shape,,,,,,,,,,,,,,,,,,
grow,build-26.1,Creation,Causative Creation,2,Match,grow.v.07,"cultivate by growing, often involving improvements by means of agricultural techniques",grow.v.04,cause to grow or develop,,,,,,,,,,,,,,,,
grow,grow-26.2.1,Creation,Form,5,Match,develop.v.14,grow emotionally or mature,grow.v.03,increase in size by natural process,grow.v.07,"cultivate by growing, often involving improvements by means of agricultural techniques",mature.v.01,develop and reach maturity; undergo maturation,grow.v.04,cause to grow or develop,,,,,,,,,,
grow,other_cos-45.4,Transformation,Basic Change of State,4,Match,grow.v.03,increase in size by natural process,grow.v.07,"cultivate by growing, often involving improvements by means of agricultural techniques",grow.v.04,cause to grow or develop,mature.v.01,develop and reach maturity; undergo maturation,,,,,,,,,,,,
grow,rear-26.2.2,Creation,Form,2,Match,grow.v.07,"cultivate by growing, often involving improvements by means of agricultural techniques",grow.v.04,cause to grow or develop,,,,,,,,,,,,,,,,
growl,animal_sounds-38,Creation,Emission,1,Match,grumble.v.03,to utter or emit low dull rumbling sounds,,,,,,,,,,,,,,,,,,
growl,manner_speaking-37.3,Communication,Statement,1,Match,grumble.v.03,to utter or emit low dull rumbling sounds,,,,,,,,,,,,,,,,,,
growl,nonverbal_expression-40.2,Existence,Existence,1,Match,grumble.v.03,to utter or emit low dull rumbling sounds,,,,,,,,,,,,,,,,,,
growl,sound_emission-43.2,Creation,Emission,1,Match,grumble.v.03,to utter or emit low dull rumbling sounds,,,,,,,,,,,,,,,,,,
grumble,complain-37.8,Communication,Statement,2,Match,murmur.v.02,make complaining remarks or noises under one's breath,grouch.v.01,show one's unhappiness or critical attitude,,,,,,,,,,,,,,,,
grumble,manner_speaking-37.3,Communication,Statement,2,Match,murmur.v.02,make complaining remarks or noises under one's breath,grumble.v.03,to utter or emit low dull rumbling sounds,,,,,,,,,,,,,,,,
grunt,animal_sounds-38,Creation,Emission,1,Match,grunt.v.01,"issue a grunting, low, animal-like noise",,,,,,,,,,,,,,,,,,
grunt,manner_speaking-37.3,Communication,Statement,1,Match,grunt.v.01,"issue a grunting, low, animal-like noise",,,,,,,,,,,,,,,,,,
guarantee,ensure-99,Affiliation,Defend,1,Match,guarantee.v.02,make certain of,,,,,,,,,,,,,,,,,,
guarantee,future_having-13.3,Possession,Future Having,1,Match,undertake.v.03,promise to do or accomplish,,,,,,,,,,,,,,,,,,
guarantee,promise-37.13,Communication,Communicate,1,Match,undertake.v.03,promise to do or accomplish,,,,,,,,,,,,,,,,,,
guard,captain-29.8,Affiliation,Role,3,Match,defend.v.03,protect against a challenge or attack,guard.v.01,to keep watch over,guard.v.02,watch over or shield from danger or harm; protect,,,,,,,,,,,,,,
guard,defend-72.3,Communication,Response,2,Match,guard.v.01,to keep watch over,guard.v.02,watch over or shield from danger or harm; protect,,,,,,,,,,,,,,,,
guard,defend-72.3,Affiliation,Defend,2,Match,guard.v.01,to keep watch over,guard.v.02,watch over or shield from danger or harm; protect,,,,,,,,,,,,,,,,
guess,conjecture-29.5,Cognition,Judge,1,Match,estimate.v.01,judge tentatively or form an estimate of (quantities or time),,,,,,,,,,,,,,,,,,
guess,discover-84,Cognition,Know,1,Match,guess.v.04,guess correctly; solve by guessing,,,,,,,,,,,,,,,,,,
guess,estimate-34.2,Cognition,Feel,1,Match,estimate.v.01,judge tentatively or form an estimate of (quantities or time),,,,,,,,,,,,,,,,,,
guesstimate,estimate-34.2,Cognition,Feel,1,Match,guesstimate.v.01,estimate based on a calculation,,,,,,,,,,,,,,,,,,
guffaw,nonverbal_expression-40.2,Existence,Existence,1,Match,guffaw.v.01,laugh boisterously,,,,,,,,,,,,,,,,,,
guide,accompany-51.7,Motion,Pursuit,3,Match,lead.v.01,take somebody somewhere,guide.v.05,"pass over, across, or through",,,,,,,,,,,,,,,,
gulp,gobble-39.3,Transformation,Ingestion,1,Match,gulp.v.01,to swallow hurriedly or greedily or in one draught,,,,,,,,,,,,,,,,,,
gum,chew-39.2,Transformation,Ingestion,1,Match,mumble.v.02,grind with the gums; chew without teeth and with great difficulty,,,,,,,,,,,,,,,,,,
gum,tape-22.4,Incremental,Basic Incremental,1,Match,gum.v.01,"cover, fill, fix or smear with or as if with gum",,,,,,,,,,,,,,,,,,
gurgle,sound_emission-43.2,Creation,Emission,2,Match,guggle.v.03,drink from a flask with a gurgling sound,gurgle.v.02,make sounds similar to gurgling water,,,,,,,,,,,,,,,,
gush,appear-48.1.1,Location,Location,2,Match,jet.v.01,issue in a jet; come out in a jet; stream or spring forth,spurt.v.01,gush forth in a sudden stream or jet,,,,,,,,,,,,,,,,
gush,lecture-37.11,Communication,Statement,1,Match,rave.v.03,praise enthusiastically,,,,,,,,,,,,,,,,,,
gush,substance_emission-43.4,Creation,Emission,2,Match,jet.v.01,issue in a jet; come out in a jet; stream or spring forth,spurt.v.01,gush forth in a sudden stream or jet,,,,,,,,,,,,,,,,
gut,pit-10.7,Incremental,Causative Incremental,1,Match,gut.v.02,remove the guts of,,,,,,,,,,,,,,,,,,
guzzle,gobble-39.3,Transformation,Ingestion,1,Match,guzzle.v.01,drink greedily or as if with great thirst,,,,,,,,,,,,,,,,,,
gyrate,body_internal_motion-49.1,Existence,Existence,2,Match,spin.v.01,revolve quickly and repeatedly around one's own axis,gyrate.v.01,to wind or move in a spiral course,,,,,,,,,,,,,,,,
hack,cut-21.1,Transformation,Basic Change of State,2,Match,chop.v.05,cut with a hacking tool,hack.v.03,cut away,,,,,,,,,,,,,,,,
hack,cut-21.1,Transformation,Causative Change of State,2,Match,chop.v.05,cut with a hacking tool,hack.v.03,cut away,,,,,,,,,,,,,,,,
hack,split-23.2,Incremental,Basic Incremental,1,Match,hack.v.03,cut away,,,,,,,,,,,,,,,,,,
haggle,correspond-36.1,Communication,Joint Statement,1,Match,haggle.v.01,"wrangle (over a price, terms of an agreement, etc.)",,,,,,,,,,,,,,,,,,
hail,characterize-29.2,Communication,Statement,2,Match,hail.v.04,greet enthusiastically or joyfully,acclaim.v.01,praise vociferously,,,,,,,,,,,,,,,,
hail,judgment-33.1,Affiliation,Attack,1,Match,acclaim.v.01,praise vociferously,,,,,,,,,,,,,,,,,,
hail,judgment-33.1,Cognition,Judge,1,Match,acclaim.v.01,praise vociferously,,,,,,,,,,,,,,,,,,
hail,weather-57,Existence,Existence,1,Match,hail.v.05,precipitate as small ice particles,,,,,,,,,,,,,,,,,,
halter,butter-9.9,Incremental,Causative Incremental,1,Match,halter.v.01,hang with a halter,,,,,,,,,,,,,,,,,,
hammer,build-26.1,Creation,Causative Creation,1,Match,forge.v.01,create by hammering,,,,,,,,,,,,,,,,,,
hammer,bump-18.4,Force,Basic Force,1,Match,hammer.v.01,beat with or as if with a hammer,,,,,,,,,,,,,,,,,,
hammer,funnel-9.3,Incremental,Basic Incremental,2,Match,forge.v.01,create by hammering,hammer.v.01,beat with or as if with a hammer,,,,,,,,,,,,,,,,
hammer,hit-18.1,Force,Basic Force,1,Match,hammer.v.01,beat with or as if with a hammer,,,,,,,,,,,,,,,,,,
hand,send-11.1,Motion,Send,1,Match,pass.v.05,place into the hands or custody of,,,,,,,,,,,,,,,,,,
hand_out,contribute-13.2,Possession,Dynamic Possession,1,Match,distribute.v.04,give to several people,,,,,,,,,,,,,,,,,,
handcuff,tape-22.4,Incremental,Basic Incremental,1,Match,manacle.v.01,confine or restrain with or as if with manacles or handcuffs,,,,,,,,,,,,,,,,,,
handle,confront-98,Communication,Response,1,Match,manage.v.02,"be in charge of, act on, or dispose of",,,,,,,,,,,,,,,,,,
hang,crane-40.3.2,Existence,Existence,1,Match,hang.v.04,let drop or droop,,,,,,,,,,,,,,,,,,
hang,poison-42.2,Transformation,Causative Change of State,1,Match,hang.v.03,kill by hanging,,,,,,,,,,,,,,,,,,
hang,put_spatial-9.2,Incremental,Basic Incremental,6,Match,hang.v.15,suspend (meat) in order to get a gamey taste,hang.v.02,cause to be hanging or suspended,hang.v.12,decorate or furnish with something suspended,hang.v.14,place in position as by a hinge so as to allow free movement in one direction,hang.v.01,be suspended or hanging,hang.v.10,be exhibited,,,,,,,,
hang,spray-9.7,Incremental,Basic Incremental,3,Match,hang.v.02,cause to be hanging or suspended,hang.v.12,decorate or furnish with something suspended,hang.v.14,place in position as by a hinge so as to allow free movement in one direction,,,,,,,,,,,,,,
hanker,long-32.2,Volition,Intend,1,Match,hanker.v.01,desire strongly or persistently,,,,,,,,,,,,,,,,,,
happen,occur-48.3,Existence,Existence,2,Match,happen.v.04,come into being; become reality,happen.v.01,come to pass,,,,,,,,,,,,,,,,
harass,amuse-31.1,Affect,Affect,1,Match,harass.v.01,annoy continually or chronically,,,,,,,,,,,,,,,,,,
harass,bully-59.5,Affiliation,Attack,2,Match,harass.v.01,annoy continually or chronically,harass.v.02,exhaust by attacking repeatedly,,,,,,,,,,,,,,,,
harden,other_cos-45.4,Transformation,Basic Change of State,3,Match,harden.v.01,become hard or harder,temper.v.02,harden by reheating and cooling in oil,harden.v.02,make hard or harder,,,,,,,,,,,,,,
harmonize,other_cos-45.4,Transformation,Basic Change of State,3,Match,harmonize.v.04,bring (several things) into consonance or relate harmoniously,harmonize.v.05,bring into consonance or accord,harmonize.v.01,go together,,,,,,,,,,,,,,
harness,butter-9.9,Incremental,Causative Incremental,1,Match,harness.v.01,put a harness,,,,,,,,,,,,,,,,,,
harness,tape-22.4,Incremental,Basic Incremental,1,Match,harness.v.01,put a harness,,,,,,,,,,,,,,,,,,
harry,bully-59.5,Affiliation,Attack,1,Match,harass.v.01,annoy continually or chronically,,,,,,,,,,,,,,,,,,
hasten,other_cos-45.4,Transformation,Basic Change of State,4,Match,induce.v.03,cause to occur rapidly,expedite.v.01,speed up the progress of; facilitate,rush.v.04,act or move at high speed,rush.v.01,move fast,,,,,,,,,,,,
hat,butter-9.9,Incremental,Causative Incremental,2,Match,hat.v.02,furnish with a hat,hat.v.01,put on or wear a hat,,,,,,,,,,,,,,,,
hatch,grow-26.2.1,Creation,Form,2,Match,brood.v.05,sit on (eggs),hatch.v.01,emerge from the eggs,,,,,,,,,,,,,,,,
hate,admire-31.2,Attend,Attend,1,Match,hate.v.01,dislike intensely; feel antipathy or aversion towards,,,,,,,,,,,,,,,,,,
haul,carry-11.4,Motion,Carry,2,Match,haul.v.02,transport in a vehicle,haul.v.01,draw slowly or heavily,,,,,,,,,,,,,,,,
haunt,amuse-31.1,Affect,Affect,1,Match,haunt.v.02,haunt like a ghost; pursue,,,,,,,,,,,,,,,,,,
have,birth-28.2,Creation,Causative Creation,1,Match,give_birth.v.01,cause to be born,,,,,,,,,,,,,,,,,,
have,own-100.1,Possession,Static Possession,1,Match,own.v.01,have ownership or possession of,,,,,,,,,,,,,,,,,,
hawk,breathe-40.1.2,Creation,Emission,1,Match,clear_the_throat.v.01,clear mucus or food from one's throat,,,,,,,,,,,,,,,,,,
hawk,give-13.1,Possession,Transfer of Possession,1,Match,peddle.v.01,sell or offer for sale from place to place,,,,,,,,,,,,,,,,,,
hawk,give-13.1,Possession,Buy and Sell,1,Match,peddle.v.01,sell or offer for sale from place to place,,,,,,,,,,,,,,,,,,
head,contiguous_location-47.8,Location,Location,1,Match,head.v.07,be in the front of or on top of,,,,,,,,,,,,,,,,,,
head,pit-10.7,Incremental,Causative Incremental,1,Match,head.v.09,remove the head of,,,,,,,,,,,,,,,,,,
heal,other_cos-45.4,Transformation,Basic Change of State,3,Match,bring_around.v.02,"provide a cure for, make healthy again",mend.v.02,heal or recover,heal.v.02,get healthy again,,,,,,,,,,,,,,
heap,spray-9.7,Incremental,Basic Incremental,2,Match,stack.v.02,arrange in stacks,heap.v.03,fill to overflow,,,,,,,,,,,,,,,,
hear,learn-14,Cognition,Learn,1,Match,learn.v.02,"get to know or become aware of, usually accidentally",,,,,,,,,,,,,,,,,,
hear,see-30.1,Perception,Sense,4,Match,learn.v.02,"get to know or become aware of, usually accidentally",hear.v.01,perceive (sound) via the auditory sense,listen.v.02,listen and pay attention,hear.v.04,receive a communication from someone,,,,,,,,,,,,
hearten,amuse-31.1,Affect,Affect,1,Match,cheer.v.01,give encouragement to,,,,,,,,,,,,,,,,,,
heat,cooking-45.3,Transformation,Causative Change of State,2,Match,heat.v.01,make hot or hotter,heat.v.04,gain heat or get hot,,,,,,,,,,,,,,,,
heat,other_cos-45.4,Transformation,Basic Change of State,3,Match,heat.v.01,make hot or hotter,heat.v.04,gain heat or get hot,heat.v.02,provide with heat,,,,,,,,,,,,,,
heave,carry-11.4,Motion,Carry,1,Match,heave.v.02,throw with great effort,,,,,,,,,,,,,,,,,,
heave,push-12,Force,Basic Force,1,Match,heave.v.02,throw with great effort,,,,,,,,,,,,,,,,,,
hee-haw,animal_sounds-38,Creation,Emission,1,Match,hee-haw.v.01,braying characteristic of donkeys,,,,,,,,,,,,,,,,,,
heel,butter-9.9,Incremental,Causative Incremental,1,Match,heel.v.05,put a new heel on,,,,,,,,,,,,,,,,,,
heel,performance-26.7,Creation,Causative Creation,1,Match,heel.v.03,perform with the heels,,,,,,,,,,,,,,,,,,
heel,put_direction-9.4,Incremental,Causative Incremental,1,Match,list.v.04,tilt to one side,,,,,,,,,,,,,,,,,,
heel,put_direction-9.4,Incremental,Pick Up and Drop Off,1,Match,list.v.04,tilt to one side,,,,,,,,,,,,,,,,,,
heft,carry-11.4,Motion,Carry,1,Match,heave.v.04,lift or elevate,,,,,,,,,,,,,,,,,,
heighten,other_cos-45.4,Transformation,Basic Change of State,5,Match,heighten.v.02,"make more extreme; raise in quantity, degree, or intensity",sharpen.v.08,make (one's senses) more acute,intensify.v.02,"make more intense, stronger, or more marked; ,",enhance.v.01,increase,heighten.v.01,become more extreme,,,,,,,,,,
hem,nonverbal_expression-40.2,Existence,Existence,1,Match,hem.v.02,utter `hem' or `ahem',,,,,,,,,,,,,,,,,,
henna,braid-41.2.2,Transformation,Causative Change of State,1,Match,henna.v.01,apply henna to one's hair,,,,,,,,,,,,,,,,,,
herald,judgment-33.1,Affiliation,Attack,1,Match,acclaim.v.01,praise vociferously,,,,,,,,,,,,,,,,,,
herald,judgment-33.1,Cognition,Judge,1,Match,acclaim.v.01,praise vociferously,,,,,,,,,,,,,,,,,,
herd,herd-47.5.2,Incremental,Basic Incremental,3,Match,herd.v.02,"move together, like a herd",herd.v.03,"keep, move, or drive animals",herd.v.01,"cause to herd, drive, or crowd together",,,,,,,,,,,,,,
hew,cut-21.1,Transformation,Basic Change of State,1,Match,hew.v.02,"strike with an axe; cut down, strike",,,,,,,,,,,,,,,,,,
hew,cut-21.1,Transformation,Causative Change of State,1,Match,hew.v.02,"strike with an axe; cut down, strike",,,,,,,,,,,,,,,,,,
hew,split-23.2,Incremental,Basic Incremental,1,Match,hew.v.02,"strike with an axe; cut down, strike",,,,,,,,,,,,,,,,,,
hiccup,hiccup-40.1.1,Existence,Existence,1,Match,hiccup.v.01,"breathe spasmodically, and make a sound",,,,,,,,,,,,,,,,,,
hide,concealment-16,Incremental,Concealment,1,Match,hide.v.01,prevent from being seen or discovered,,,,,,,,,,,,,,,,,,
highjack,steal-10.5,Possession,Transfer of Possession,1,Match,commandeer.v.01,take arbitrarily or by force,,,,,,,,,,,,,,,,,,
hijack,obtain-13.5.2,Possession,Dynamic Possession,2,Match,hijack.v.02,seize control of,commandeer.v.01,take arbitrarily or by force,,,,,,,,,,,,,,,,
hike,run-51.3.2,Motion,Basic Motion,1,Match,hike.v.02,"walk a long way, as for pleasure or physical exercise",,,,,,,,,,,,,,,,,,
hinge,tape-22.4,Incremental,Basic Incremental,1,Match,hinge.v.01,attach with a hinge,,,,,,,,,,,,,,,,,,
hint,say-37.7,Communication,Statement,1,Match,hint.v.01,drop a hint; intimate by a hint,,,,,,,,,,,,,,,,,,
hire,get-13.5.1,Possession,Dynamic Possession,3,Match,rent.v.04,hold under a lease or rental agreement; of goods and services,hire.v.01,engage or hire for work,lease.v.04,engage for service under a term of contract,,,,,,,,,,,,,,
hire,get-13.5.1,Possession,Buy and Sell,3,Match,rent.v.04,hold under a lease or rental agreement; of goods and services,hire.v.01,engage or hire for work,lease.v.04,engage for service under a term of contract,,,,,,,,,,,,,,
hire,hire-13.5.3,Affiliation,Cause Membership,1,Match,hire.v.01,engage or hire for work,,,,,,,,,,,,,,,,,,
